Initialized:  5629 | Fitness: 1 / 2
Temper from 5548 at 11538 | Fitness: 3 / 4
Temper from 5453 at 23138 | Fitness: 5 / 6
Temper from 5357 at 34709 | Fitness: 7 / 8
Temper from 5064 at 46273 | Fitness: 9 / 10
Temper from 4973 at 57878 | Fitness: 11 / 12
Temper from 4916 at 69474 | Fitness: 13 / 14
Temper from 4919 at 81075 | Fitness: 12 / 14
Temper from 4911 at 92645 | Fitness: 14 / 16
Temper from 4911 at 104200 | Fitness: 13 / 16
Temper from 4873 at 115784 | Fitness: 15 / 18
Temper from 4873 at 127390 | Fitness: 14 / 18
Temper from 4873 at 138969 | Fitness: 13 / 18
Temper from 4873 at 150514 | Fitness: 12 / 18
Temper from 4873 at 162102 | Fitness: 11 / 18
Temper from 4873 at 173666 | Fitness: 10 / 18
Temper from 4873 at 185214 | Fitness: 9 / 18
Temper from 4883 at 196735 | Fitness: 8 / 18
Temper from 4883 at 208259 | Fitness: 7 / 18
Temper from 4872 at 219779 | Fitness: 9 / 20
Temper from 4872 at 231354 | Fitness: 8 / 20
Temper from 4872 at 242889 | Fitness: 7 / 20
Temper from 4986 at 254418 | Fitness: 6 / 20
Temper from 4877 at 265978 | Fitness: 7 / 21
Temper from 4904 at 277494 | Fitness: 6 / 21
Temper from 4797 at 289020 | Fitness: 8 / 23
Temper from 4806 at 300574 | Fitness: 7 / 23
Temper from 4791 at 312178 | Fitness: 9 / 25
Temper from 4787 at 323750 | Fitness: 11 / 27
Temper from 4787 at 335270 | Fitness: 10 / 27
Temper from 4897 at 346795 | Fitness: 9 / 27
Temper from 4995 at 358394 | Fitness: 8 / 27
Temper from 4926 at 369967 | Fitness: 9 / 28
Temper from 5146 at 381529 | Fitness: 8 / 28
Temper from 4912 at 393060 | Fitness: 9 / 29
Temper from 4847 at 404637 | Fitness: 10 / 30
Temper from 4800 at 416192 | Fitness: 11 / 31
Temper from 4800 at 427774 | Fitness: 10 / 31
Temper from 4879 at 439361 | Fitness: 9 / 31
Temper from 4805 at 450925 | Fitness: 10 / 32
Temper from 4803 at 462519 | Fitness: 11 / 33
Temper from 4800 at 474051 | Fitness: 12 / 34
Temper from 4800 at 485575 | Fitness: 11 / 34
Temper from 4800 at 497179 | Fitness: 10 / 34
Temper from 4803 at 508700 | Fitness: 9 / 34
Temper from 4802 at 520281 | Fitness: 10 / 35
Temper from 4802 at 531819 | Fitness: 9 / 35
Temper from 4802 at 543394 | Fitness: 8 / 35
Temper from 4806 at 554964 | Fitness: 7 / 35
Temper from 4898 at 566514 | Fitness: 6 / 35
Temper from 4863 at 578074 | Fitness: 7 / 36
Temper from 4892 at 589601 | Fitness: 6 / 36
Temper from 4934 at 601178 | Fitness: 5 / 36
Temper from 4829 at 612771 | Fitness: 6 / 37
Temper from 4829 at 624380 | Fitness: 5 / 37
Temper from 5033 at 635911 | Fitness: 4 / 37
Temper from 4901 at 647430 | Fitness: 5 / 38
Temper from 4973 at 659037 | Fitness: 4 / 38
Temper from 4838 at 670587 | Fitness: 5 / 39
Temper from 4832 at 682103 | Fitness: 6 / 40
Temper from 4903 at 693647 | Fitness: 5 / 40
Temper from 4903 at 705244 | Fitness: 4 / 40
Temper from 4983 at 716793 | Fitness: 3 / 40
Temper from 4962 at 728395 | Fitness: 4 / 41
Temper from 4883 at 739968 | Fitness: 5 / 42
Temper from 4896 at 751502 | Fitness: 4 / 42
Temper from 4882 at 763046 | Fitness: 5 / 43
Temper from 4866 at 774580 | Fitness: 6 / 44
Temper from 4888 at 786152 | Fitness: 5 / 44
Temper from 4872 at 797763 | Fitness: 6 / 45
Temper from 4890 at 809301 | Fitness: 5 / 45
Temper from 4890 at 820912 | Fitness: 4 / 45
Temper from 4945 at 832481 | Fitness: 3 / 45
Temper from 4894 at 844027 | Fitness: 4 / 46
Temper from 4884 at 855577 | Fitness: 5 / 47
Temper from 4889 at 867148 | Fitness: 4 / 47
Temper from 5005 at 878734 | Fitness: 3 / 47
Temper from 4894 at 890268 | Fitness: 4 / 48
Temper from 4894 at 901797 | Fitness: 3 / 48
Temper from 4996 at 913318 | Fitness: 2 / 48
Temper from 4975 at 924869 | Fitness: 3 / 49
Temper from 4980 at 936443 | Fitness: 2 / 49
Temper from 5031 at 948007 | Fitness: 1 / 49
Temper from 4992 at 959561 | Fitness: 2 / 50
Temper from 4991 at 971164 | Fitness: 3 / 51
Temper from 4970 at 982689 | Fitness: 4 / 52
Temper from 4970 at 994255 | Fitness: 3 / 52
Temper from 4970 at 1005785 | Fitness: 2 / 52
Temper from 4974 at 1017363 | Fitness: 1 / 52
1028961 iterations from 5629 to 4787
OPTIMIZED COST: 4787
0 4 45 53 2 1 42 43 3 75 76 37 7 35 49 95 88 54 50 32 13 31 8 41 17 55 77 78 59 19 67 73 72 22 48 29 100 44 9 74 28 23 47 63 96 87 89 98 51 86 97 36 12 33 21 20 34 83 91 84 79 94 14 82 16 11 81 46 90 10 27 57 40 39 15 24 18 80 56 25 61 62 60 85 58 30 71 64 68 65 69 52 26 99 93 6 92 5 38 70 66 0
