Initialized:  9514 | Fitness: 1 / 2
Temper from 8043 at 11202 | Fitness: 3 / 4
Temper from 8011 at 22429 | Fitness: 5 / 6
Temper from 8011 at 33635 | Fitness: 4 / 6
Temper from 8011 at 44835 | Fitness: 3 / 6
Temper from 7955 at 56046 | Fitness: 5 / 8
Temper from 7914 at 67277 | Fitness: 7 / 10
Temper from 7914 at 78472 | Fitness: 6 / 10
Temper from 7653 at 89698 | Fitness: 8 / 12
Temper from 7819 at 100936 | Fitness: 7 / 12
Temper from 7721 at 112166 | Fitness: 8 / 13
Temper from 7692 at 123372 | Fitness: 9 / 14
Temper from 7692 at 134581 | Fitness: 8 / 14
Temper from 7692 at 145788 | Fitness: 7 / 14
Temper from 7693 at 157007 | Fitness: 6 / 14
Temper from 7585 at 168225 | Fitness: 8 / 16
Temper from 7585 at 179465 | Fitness: 7 / 16
Temper from 7614 at 190691 | Fitness: 6 / 16
Temper from 7588 at 201896 | Fitness: 7 / 17
Temper from 7585 at 213102 | Fitness: 9 / 19
Temper from 7585 at 224305 | Fitness: 8 / 19
Temper from 7679 at 235495 | Fitness: 7 / 19
Temper from 7674 at 246690 | Fitness: 8 / 20
Temper from 7674 at 257885 | Fitness: 7 / 20
Temper from 7676 at 269105 | Fitness: 6 / 20
Temper from 7678 at 280307 | Fitness: 5 / 20
Temper from 7603 at 291538 | Fitness: 6 / 21
Temper from 7601 at 302771 | Fitness: 7 / 22
Temper from 7601 at 313999 | Fitness: 6 / 22
Temper from 7545 at 325212 | Fitness: 8 / 24
Temper from 7545 at 336443 | Fitness: 7 / 24
Temper from 7547 at 347665 | Fitness: 6 / 24
Temper from 7545 at 358879 | Fitness: 8 / 26
Temper from 7545 at 370087 | Fitness: 7 / 26
Temper from 7618 at 381288 | Fitness: 6 / 26
Temper from 7647 at 392523 | Fitness: 5 / 26
Temper from 7676 at 403750 | Fitness: 4 / 26
Temper from 7676 at 414961 | Fitness: 3 / 26
Temper from 8005 at 426184 | Fitness: 2 / 26
Temper from 8110 at 437415 | Fitness: 1 / 26
Temper from 8037 at 448641 | Fitness: 2 / 27
Temper from 7615 at 459845 | Fitness: 3 / 28
Temper from 7610 at 471072 | Fitness: 4 / 29
Temper from 7555 at 482312 | Fitness: 5 / 30
Temper from 7665 at 493527 | Fitness: 4 / 30
Temper from 7559 at 504717 | Fitness: 5 / 31
Temper from 7499 at 515938 | Fitness: 7 / 33
Temper from 7499 at 527168 | Fitness: 6 / 33
Temper from 7910 at 538385 | Fitness: 5 / 33
Temper from 7908 at 549616 | Fitness: 6 / 34
Temper from 7772 at 560856 | Fitness: 7 / 35
Temper from 7727 at 572081 | Fitness: 8 / 36
Temper from 7681 at 583282 | Fitness: 9 / 37
Temper from 7772 at 594484 | Fitness: 8 / 37
Temper from 7661 at 605679 | Fitness: 9 / 38
Temper from 7565 at 616914 | Fitness: 10 / 39
Temper from 7621 at 628112 | Fitness: 9 / 39
Temper from 7691 at 639319 | Fitness: 8 / 39
Temper from 7593 at 650529 | Fitness: 9 / 40
Temper from 7771 at 661756 | Fitness: 8 / 40
Temper from 7565 at 672992 | Fitness: 9 / 41
Temper from 7749 at 684222 | Fitness: 8 / 41
Temper from 7887 at 695442 | Fitness: 7 / 41
Temper from 7759 at 706680 | Fitness: 8 / 42
Temper from 7815 at 717882 | Fitness: 7 / 42
Temper from 7817 at 729092 | Fitness: 6 / 42
